os_string,normalized_os_detailed_name,normalized_os,eol_date,eol_status,eoas_date,eoas_status
Oracle 9,,,,,,
Red Hat Enterprises Linux 7.4,,,,,,
Nutanix 20230302.103032,,,,,,
Red Hat Enterprises 7,,,,,,
Ubuntu Linux22.04,Ubuntu 22.04 'Jammy Jellyfish' (LTS),Ubuntu 22.04,1806537600,,1727654400,
Linux - CentOS,CentOS 8,CentOS 8,1640908800,,1640908800,
Linux - SUSE Enterprise 11 (64-bit),SUSE Linux Enterprise Server 11.4,SUSE Linux Enterprise Server 11.4,1553990400,,,
Red Hat Linux 7.4,,,,,,
Windows Server 2022 Standard Edition (x64),Microsoft Windows Server Windows Server 2022 (LTSC),Microsoft Windows Server 2022,1949702400,,1791849600,
Linux - Debian GNU/Linux 7 (64-bit),Debian 7 (Wheezy),Debian 7,1461542400,,,
SUSE Linux 11 SP3,SUSE Linux Enterprise Server 11.4,SUSE Linux Enterprise Server 11.4,1553990400,,,
Red Hat Enterprise,,,,,,
RedHat Enterprise Linux AS/Intel,,,,,,
Rocky Linux 8.1,Rocky Linux 8,Rocky Linux 8,1874880000,,1717113600,
Rocky Linux9.6,Rocky Linux 9,Rocky Linux 9,1969574400,,1811721600,
Windows Server 2019 Standard Edition (x64),Microsoft Windows Server Windows Server 2019 (LTSC),Microsoft Windows Server 2019,1862611200,,1704758400,
Windows Server 2016 Standard Edition (x64),Microsoft Windows Server Windows Server 2016 (LTSC),Microsoft Windows Server 2016,1799712000,,1641859200,
Cisco Firepower Threat Defense 7.4.2,,,,,,
Red Hat Enterprise Linux release 9.7 (Plow),Red Hat Enterprise Linux 9 (Upcoming ELS),Red Hat Enterprise Linux 9,1969574400,,1811721600,
Rocky Linux release 10.1 (Red Quartz),Rocky Linux 10,Rocky Linux 10,2064182400,,1906416000,
AHV Appliance,,,,,,
Vmware EXSI,,,,,,
Linux -Ubuntu (64-bit),Ubuntu 26.04 'Resolute Raccoon' (LTS),Ubuntu 26.04,1935273600,,1935273600,
Rocky Linux9.7,Rocky Linux 9,Rocky Linux 9,1969574400,,1811721600,
Red Hat Linux9.3,,,,,,
Ubuntu Linux24.04,Ubuntu 24.04 'Noble Numbat' (LTS),Ubuntu 24.04,1874880000,,1874880000,
Red Hat Linux8.2,,,,,,
